title,authors,abstract,pdf_url,source_url,id,year,conference
Algorithmic Learning Theory 2024: Preface,"Claire Vernade, Daniel Hsu",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/vernade24a/vernade24a.pdf,https://proceedings.mlr.press/v237/vernade24a.html,vernade24a,2025,ICML
A Mechanism for Sample-Efficient In-Context Learning for Sparse Retrieval Tasks,"Jacob Abernethy, Alekh Agarwal, Teodor Vanislavov Marinov, Manfred K. Warmuth",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/abernethy24a/abernethy24a.pdf,https://proceedings.mlr.press/v237/abernethy24a.html,abernethy24a,2025,ICML
Mixtures of Gaussians are Privately Learnable with a Polynomial Number of Samples,"Mohammad Afzali, Hassan Ashtiani, Christopher Liaw",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/afzali24a/afzali24a.pdf,https://proceedings.mlr.press/v237/afzali24a.html,afzali24a,2025,ICML
CRIMED: Lower and Upper Bounds on Regret for Bandits with Unbounded Stochastic Corruption,"Shubhada Agrawal, Timothée Mathieu, Debabrota Basu, Odalric-Ambrym Maillard",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/agrawal24a/agrawal24a.pdf,https://proceedings.mlr.press/v237/agrawal24a.html,agrawal24a,2025,ICML
Semi-supervised Group DRO: Combating Sparsity with Unlabeled Data,"Pranjal Awasthi, Satyen Kale, Ankit Pensia",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/awasthi24a/awasthi24a.pdf,https://proceedings.mlr.press/v237/awasthi24a.html,awasthi24a,2025,ICML
The Attractor of the Replicator Dynamic in Zero-Sum Games,"Oliver Biggar, Iman Shames",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/biggar24a/biggar24a.pdf,https://proceedings.mlr.press/v237/biggar24a.html,biggar24a,2025,ICML
Tight Bounds for Local Glivenko-Cantelli,"Moïse Blanchard, Vaclav Voracek",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/blanchard24a/blanchard24a.pdf,https://proceedings.mlr.press/v237/blanchard24a.html,blanchard24a,2025,ICML
Dueling Optimization with a Monotone Adversary,"Avrim Blum, Meghal Gupta, Gene Li, Naren Sarayu Manoj, Aadirupa Saha, Yuanyuan Yang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/blum24a/blum24a.pdf,https://proceedings.mlr.press/v237/blum24a.html,blum24a,2025,ICML
Online Recommendations for Agents with Discounted Adaptive Preferences,"William Brown, Arpit Agarwal",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/brown24a/brown24a.pdf,https://proceedings.mlr.press/v237/brown24a.html,brown24a,2025,ICML
"Distances for Markov Chains, and Their Differentiation","Tristan Brugère, Zhengchao Wan, Yusu Wang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/brugere24a/brugere24a.pdf,https://proceedings.mlr.press/v237/brugere24a.html,brugere24a,2025,ICML
Concentration of empirical barycenters in metric spaces,"Victor-Emmanuel Brunel, Jordan Serres",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/brunel24a/brunel24a.pdf,https://proceedings.mlr.press/v237/brunel24a.html,brunel24a,2025,ICML
Private PAC Learning May be Harder than Online Learning,"Mark Bun, Aloni Cohen, Rathin Desai",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/bun24a/bun24a.pdf,https://proceedings.mlr.press/v237/bun24a.html,bun24a,2025,ICML
Not All Learnable Distribution Classes are Privately Learnable,"Mark Bun, Gautam Kamath, Argyris Mouzakis, Vikrant Singhal",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/bun24b/bun24b.pdf,https://proceedings.mlr.press/v237/bun24b.html,bun24b,2025,ICML
Learning bounded-degree polytrees with known skeleton,"Davin Choo, Joy Qiping Yang, Arnab Bhattacharyya, Clément L Canonne",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/choo24a/choo24a.pdf,https://proceedings.mlr.press/v237/choo24a.html,choo24a,2025,ICML
Near-continuous time Reinforcement Learning for continuous state-action spaces,"Lorenzo Croissant, Marc Abeille, Bruno Bouchard",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/croissant24a/croissant24a.pdf,https://proceedings.mlr.press/v237/croissant24a.html,croissant24a,2025,ICML
Computation with Sequences of Assemblies in a Model of the Brain,"Max Dabagia, Christos Papadimitriou, Santosh Vempala",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/dabagia24a/dabagia24a.pdf,https://proceedings.mlr.press/v237/dabagia24a.html,dabagia24a,2025,ICML
On the Sample Complexity of Two-Layer Networks: Lipschitz Vs. Element-Wise Lipschitz Activation,"Amit Daniely, Elad Granot",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/daniely24a/daniely24a.pdf,https://proceedings.mlr.press/v237/daniely24a.html,daniely24a,2025,ICML
RedEx: Beyond Fixed Representation Methods via Convex Optimization,"Amit Daniely, Mariano Schain, Gilad Yehudai",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/daniely24b/daniely24b.pdf,https://proceedings.mlr.press/v237/daniely24b.html,daniely24b,2025,ICML
The Dimension of Self-Directed Learning,"Pramith Devulapalli, Steve Hanneke",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/devulapalli24a/devulapalli24a.pdf,https://proceedings.mlr.press/v237/devulapalli24a.html,devulapalli24a,2025,ICML
Learning Hypertrees From Shortest Path Queries,"Shaun M Fallat, Valerii Maliuk, Seyed Ahmad Mojallal, Sandra Zilles",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/fallat24a/fallat24a.pdf,https://proceedings.mlr.press/v237/fallat24a.html,fallat24a,2025,ICML
Partially Interpretable Models with Guarantees on Coverage and Accuracy,"Nave Frost, Zachary Lipton, Yishay Mansour, Michal Moshkovitz",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/frost24a/frost24a.pdf,https://proceedings.mlr.press/v237/frost24a.html,frost24a,2025,ICML
Importance-Weighted Offline Learning Done Right,"Germano Gabbianelli, Gergely Neu, Matteo Papini",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/gabbianelli24a/gabbianelli24a.pdf,https://proceedings.mlr.press/v237/gabbianelli24a.html,gabbianelli24a,2025,ICML
The Impossibility of Parallelizing Boosting,"Amin Karbasi, Kasper Green Larsen",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/karbasi24a/karbasi24a.pdf,https://proceedings.mlr.press/v237/karbasi24a.html,karbasi24a,2025,ICML
Agnostic Membership Query Learning with Nontrivial Savings: New Results and Techniques,Ari Karchmer,N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/karchmer24a/karchmer24a.pdf,https://proceedings.mlr.press/v237/karchmer24a.html,karchmer24a,2025,ICML
Slowly Changing Adversarial Bandit Algorithms are Efficient for Discounted MDPs,"Ian A. Kash, Lev Reyzin, Zishun Yu",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/kash24a/kash24a.pdf,https://proceedings.mlr.press/v237/kash24a.html,kash24a,2025,ICML
Efficient Agnostic Learning with Average Smoothness,"Steve Hanneke, Aryeh Kontorovich, Guy Kornowski",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/hanneke24a/hanneke24a.pdf,https://proceedings.mlr.press/v237/hanneke24a.html,hanneke24a,2025,ICML
Provable Accelerated Convergence of Nesterov’s Momentum for Deep ReLU Neural Networks,"Fangshuo Liao, Anastasios Kyrillidis",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/liao24a/liao24a.pdf,https://proceedings.mlr.press/v237/liao24a.html,liao24a,2025,ICML
Learning Spanning Forests Optimally in Weighted Undirected Graphs with CUT queries,"Hang Liao, Deeparnab Chakrabarty",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/liao24b/liao24b.pdf,https://proceedings.mlr.press/v237/liao24b.html,liao24b,2025,ICML
Alternating minimization for generalized rank one matrix sensing: Sharp predictions from a random initialization,"Kabir Aladin Verchand, Mengqi Lou, Ashwin Pananjady",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/verchand24a/verchand24a.pdf,https://proceedings.mlr.press/v237/verchand24a.html,verchand24a,2025,ICML
On the Computational Benefit of Multimodal Learning,Zhou Lu,N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/lu24a/lu24a.pdf,https://proceedings.mlr.press/v237/lu24a.html,lu24a,2025,ICML
Predictor-Rejector Multi-Class Abstention: Theoretical Analysis and Algorithms,"Anqi Mao, Mehryar Mohri, Yutao Zhong",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/mao24a/mao24a.pdf,https://proceedings.mlr.press/v237/mao24a.html,mao24a,2025,ICML
Differentially Private Non-Convex Optimization under the KL Condition with Optimal Rates,"Michael Menart, Enayat Ullah, Raman Arora, Raef Bassily, Cristobal Guzman",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/menart24a/menart24a.pdf,https://proceedings.mlr.press/v237/menart24a.html,menart24a,2025,ICML
Adversarial Contextual Bandits Go Kernelized,"Gergely Neu, Julia Olkhovskaya, Sattar Vakili",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/neu24a/neu24a.pdf,https://proceedings.mlr.press/v237/neu24a.html,neu24a,2025,ICML
Multiclass Learnability Does Not Imply Sample Compression,Chirag Pabbaraju,N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/pabbaraju24a/pabbaraju24a.pdf,https://proceedings.mlr.press/v237/pabbaraju24a.html,pabbaraju24a,2025,ICML
Adversarial Online Collaborative Filtering,"Stephen Pasteris, Fabio Vitale, Mark Herbster, Claudio Gentile, Andre Panisson",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/pasteris24a/pasteris24a.pdf,https://proceedings.mlr.press/v237/pasteris24a.html,pasteris24a,2025,ICML
The complexity of non-stationary reinforcement learning,"Binghui Peng, Christos Papadimitriou",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/peng24a/peng24a.pdf,https://proceedings.mlr.press/v237/peng24a.html,peng24a,2025,ICML
Multiclass Online Learnability under Bandit Feedback,"Ananth Raman, Vinod Raman, Unique Subedi, Idan Mehalel, Ambuj Tewari",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/raman24a/raman24a.pdf,https://proceedings.mlr.press/v237/raman24a.html,raman24a,2025,ICML
Optimal Regret Bounds for Collaborative Learning in Bandits,"Amitis Shidani, Sattar Vakili",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/shidani24a/shidani24a.pdf,https://proceedings.mlr.press/v237/shidani24a.html,shidani24a,2025,ICML
"A Polynomial Time, Pure Differentially Private Estimator for Binary Product Distributions",Vikrant Singhal,N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/singhal24a/singhal24a.pdf,https://proceedings.mlr.press/v237/singhal24a.html,singhal24a,2025,ICML
Tight bounds for maximum $\ell_1$-margin classifiers,"Stefan Stojanovic, Konstantin Donhauser, Fanny Yang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/stojanovic24a/stojanovic24a.pdf,https://proceedings.mlr.press/v237/stojanovic24a.html,stojanovic24a,2025,ICML
Online Infinite-Dimensional Regression: Learning Linear Operators,"Unique Subedi, Vinod Raman, Ambuj Tewari",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/subedi24a/subedi24a.pdf,https://proceedings.mlr.press/v237/subedi24a.html,subedi24a,2025,ICML
Universal Representation of Permutation-Invariant Functions on Vectors and Tensors,"Puoya Tabaghi, Yusu Wang",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/tabaghi24a/tabaghi24a.pdf,https://proceedings.mlr.press/v237/tabaghi24a.html,tabaghi24a,2025,ICML
Adaptive Combinatorial Maximization: Beyond Approximate Greedy Policies,"Shlomi Weitzman, Sivan Sabato",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/weitzman24a/weitzman24a.pdf,https://proceedings.mlr.press/v237/weitzman24a.html,weitzman24a,2025,ICML
Improving Adaptive Online Learning Using Refined Discretization,"Zhiyu Zhang, Heng Yang, Ashok Cutkosky, Ioannis C Paschalidis",N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/zhang24a/zhang24a.pdf,https://proceedings.mlr.press/v237/zhang24a.html,zhang24a,2025,ICML
Corruption-Robust Lipschitz Contextual Search,Shiliang Zuo,N/A (摘要需访问详情页),https://proceedings.mlr.press/v237/zuo24a/zuo24a.pdf,https://proceedings.mlr.press/v237/zuo24a.html,zuo24a,2025,ICML
